지점,날짜,시간,일사(MJ/m2),온도,풍속,습도,tm,year,month
전주,2025-05-28,00:00,0,17.4,0.7,73,2025-05-28 00:00,2025,05
전주,2025-05-28,01:00,0,16.8,1.3,76,2025-05-28 01:00,2025,05
전주,2025-05-28,02:00,0,16.2,0.5,78,2025-05-28 02:00,2025,05
전주,2025-05-28,03:00,0,15.8,1.2,79,2025-05-28 03:00,2025,05
전주,2025-05-28,04:00,0,14.9,0.9,82,2025-05-28 04:00,2025,05
전주,2025-05-28,05:00,0,14.4,1.8,83,2025-05-28 05:00,2025,05
전주,2025-05-28,06:00,0.04,14.6,0.7,82,2025-05-28 06:00,2025,05
전주,2025-05-28,07:00,0.41,16.5,0.7,72,2025-05-28 07:00,2025,05
전주,2025-05-28,08:00,1.01,18.9,0.3,65,2025-05-28 08:00,2025,05
전주,2025-05-28,09:00,1.67,20.4,1.0,59,2025-05-28 09:00,2025,05
전주,2025-05-28,10:00,2.28,22.2,1.0,55,2025-05-28 10:00,2025,05
전주,2025-05-28,11:00,2.76,24.3,1.2,47,2025-05-28 11:00,2025,05
전주,2025-05-28,12:00,3.11,25.3,1.2,39,2025-05-28 12:00,2025,05
전주,2025-05-28,13:00,3.26,27.3,2.0,35,2025-05-28 13:00,2025,05
전주,2025-05-28,14:00,3.16,27.1,1.9,39,2025-05-28 14:00,2025,05
전주,2025-05-28,15:00,2.79,27.2,2.2,40,2025-05-28 15:00,2025,05
전주,2025-05-28,16:00,2.35,27.1,2.2,38,2025-05-28 16:00,2025,05
전주,2025-05-28,17:00,1.73,26.3,2.8,41,2025-05-28 17:00,2025,05
전주,2025-05-28,18:00,1.09,25.4,3.3,36,2025-05-28 18:00,2025,05
전주,2025-05-28,19:00,0.42,23.3,1.9,47,2025-05-28 19:00,2025,05
전주,2025-05-28,20:00,0.04,21.8,2.0,55,2025-05-28 20:00,2025,05
전주,2025-05-28,21:00,0,21.1,1.4,58,2025-05-28 21:00,2025,05
전주,2025-05-28,22:00,0,20.3,0.4,62,2025-05-28 22:00,2025,05
전주,2025-05-28,23:00,0,18.5,1.0,74,2025-05-28 23:00,2025,05
전주,2025-05-29,00:00,0,17.7,1.0,72,2025-05-29 00:00,2025,05
전주,2025-05-29,01:00,0,17.6,0.8,70,2025-05-29 01:00,2025,05
전주,2025-05-29,02:00,0,17.2,1.0,72,2025-05-29 02:00,2025,05
전주,2025-05-29,03:00,0,16.2,0.7,77,2025-05-29 03:00,2025,05
전주,2025-05-29,04:00,0,15.7,1.6,80,2025-05-29 04:00,2025,05
전주,2025-05-29,05:00,0,15.2,1.3,82,2025-05-29 05:00,2025,05
전주,2025-05-29,06:00,0.05,15.3,1.6,81,2025-05-29 06:00,2025,05
전주,2025-05-29,07:00,0.42,16.9,0.3,74,2025-05-29 07:00,2025,05
전주,2025-05-29,08:00,1.04,18.6,0.7,66,2025-05-29 08:00,2025,05
전주,2025-05-29,09:00,1.72,21.2,0.7,59,2025-05-29 09:00,2025,05
전주,2025-05-29,10:00,2.34,23.2,1.2,54,2025-05-29 10:00,2025,05
전주,2025-05-29,11:00,2.83,25.1,1.5,41,2025-05-29 11:00,2025,05
