지점,날짜,시간,일사(MJ/m2),온도,풍속,습도,tm,year,month
전주,2025-10-22,00:00,0,9.1,1.2,81,2025-10-22 00:00,2025,10
전주,2025-10-22,01:00,0,8.9,1.2,83,2025-10-22 01:00,2025,10
전주,2025-10-22,02:00,0,8.4,1.4,85,2025-10-22 02:00,2025,10
전주,2025-10-22,03:00,0,8.2,1.0,89,2025-10-22 03:00,2025,10
전주,2025-10-22,04:00,0,7.5,0.5,88,2025-10-22 04:00,2025,10
전주,2025-10-22,05:00,0,7.7,0.5,90,2025-10-22 05:00,2025,10
전주,2025-10-22,06:00,0,7.7,0.2,90,2025-10-22 06:00,2025,10
전주,2025-10-22,07:00,0.0,7.2,0.0,91,2025-10-22 07:00,2025,10
전주,2025-10-22,08:00,0.33,8.9,1.1,87,2025-10-22 08:00,2025,10
전주,2025-10-22,09:00,0.93,11.2,1.2,80,2025-10-22 09:00,2025,10
전주,2025-10-22,10:00,1.51,13.0,1.4,75,2025-10-22 10:00,2025,10
전주,2025-10-22,11:00,2.02,15.4,1.8,70,2025-10-22 11:00,2025,10
전주,2025-10-22,12:00,2.34,17.6,1.9,66,2025-10-22 12:00,2025,10
전주,2025-10-22,13:00,2.42,19.4,1.4,57,2025-10-22 13:00,2025,10
전주,2025-10-22,14:00,2.26,21.0,1.5,55,2025-10-22 14:00,2025,10
전주,2025-10-22,15:00,1.89,21.5,1.9,54,2025-10-22 15:00,2025,10
전주,2025-10-22,16:00,1.37,21.5,2.3,51,2025-10-22 16:00,2025,10
전주,2025-10-22,17:00,0.48,19.8,2.0,60,2025-10-22 17:00,2025,10
전주,2025-10-22,18:00,0.05,18.6,2.3,67,2025-10-22 18:00,2025,10
전주,2025-10-22,19:00,0,16.9,1.5,74,2025-10-22 19:00,2025,10
전주,2025-10-22,20:00,0,16.5,1.8,78,2025-10-22 20:00,2025,10
전주,2025-10-22,21:00,0,16.0,0.7,78,2025-10-22 21:00,2025,10
전주,2025-10-22,22:00,0,15.4,1.3,84,2025-10-22 22:00,2025,10
전주,2025-10-22,23:00,0,14.5,1.5,86,2025-10-22 23:00,2025,10
전주,2025-10-23,00:00,0,14.0,1.5,87,2025-10-23 00:00,2025,10
전주,2025-10-23,01:00,0,13.2,1.6,88,2025-10-23 01:00,2025,10
전주,2025-10-23,02:00,0,12.6,1.6,89,2025-10-23 02:00,2025,10
