지점,날짜,시간,일사(MJ/m2),온도,풍속,습도,tm,year,month
전주,2025-04-30,00:00,0,12.4,0.6,52,2025-04-30 00:00,2025,04
전주,2025-04-30,01:00,0,11.9,1.4,56,2025-04-30 01:00,2025,04
전주,2025-04-30,02:00,0,11.8,1.8,56,2025-04-30 02:00,2025,04
전주,2025-04-30,03:00,0,12.2,1.7,55,2025-04-30 03:00,2025,04
전주,2025-04-30,04:00,0,12.1,2.1,57,2025-04-30 04:00,2025,04
전주,2025-04-30,05:00,0,12.5,1.1,56,2025-04-30 05:00,2025,04
전주,2025-04-30,06:00,0.01,12.1,1.6,58,2025-04-30 06:00,2025,04
전주,2025-04-30,07:00,0.33,14.0,1.3,53,2025-04-30 07:00,2025,04
전주,2025-04-30,08:00,1.01,16.8,0.6,42,2025-04-30 08:00,2025,04
전주,2025-04-30,09:00,1.75,20.0,1.2,38,2025-04-30 09:00,2025,04
전주,2025-04-30,10:00,2.41,22.5,1.9,32,2025-04-30 10:00,2025,04
전주,2025-04-30,11:00,2.94,24.8,1.5,29,2025-04-30 11:00,2025,04
전주,2025-04-30,12:00,3.24,26.0,0.9,31,2025-04-30 12:00,2025,04
전주,2025-04-30,13:00,3.32,26.7,1.1,25,2025-04-30 13:00,2025,04
전주,2025-04-30,14:00,3.25,27.2,2.3,23,2025-04-30 14:00,2025,04
전주,2025-04-30,15:00,2.94,27.7,3.1,21,2025-04-30 15:00,2025,04
전주,2025-04-30,16:00,2.42,28.1,2.9,22,2025-04-30 16:00,2025,04
전주,2025-04-30,17:00,1.72,25.7,3.3,34,2025-04-30 17:00,2025,04
전주,2025-04-30,18:00,0.95,23.1,3.4,39,2025-04-30 18:00,2025,04
전주,2025-04-30,19:00,0.3,20.6,2.1,43,2025-04-30 19:00,2025,04
전주,2025-04-30,20:00,0.01,18.9,1.5,47,2025-04-30 20:00,2025,04
전주,2025-04-30,21:00,0,19.6,1.1,43,2025-04-30 21:00,2025,04
전주,2025-04-30,22:00,0,19.4,2.4,28,2025-04-30 22:00,2025,04
전주,2025-04-30,23:00,0,18.3,2.2,23,2025-04-30 23:00,2025,04
