지점,날짜,시간,일사(MJ/m2),온도,풍속,습도,tm,year,month
전주,2025-08-27,00:00,0,26.2,0.3,92,2025-08-27 00:00,2025,08
전주,2025-08-27,01:00,0,25.9,0.3,92,2025-08-27 01:00,2025,08
전주,2025-08-27,02:00,0,25.6,0.0,92,2025-08-27 02:00,2025,08
전주,2025-08-27,03:00,0,25.0,0.3,93,2025-08-27 03:00,2025,08
전주,2025-08-27,04:00,0,24.7,0.9,93,2025-08-27 04:00,2025,08
전주,2025-08-27,05:00,0,24.6,0.6,94,2025-08-27 05:00,2025,08
전주,2025-08-27,06:00,0.0,24.4,0.6,94,2025-08-27 06:00,2025,08
전주,2025-08-27,07:00,0.09,24.6,0.9,93,2025-08-27 07:00,2025,08
전주,2025-08-27,08:00,0.57,25.9,1.1,88,2025-08-27 08:00,2025,08
전주,2025-08-27,09:00,1.51,27.5,0.8,81,2025-08-27 09:00,2025,08
전주,2025-08-27,10:00,2.46,28.8,1.7,75,2025-08-27 10:00,2025,08
전주,2025-08-27,11:00,2.14,28.7,2.2,68,2025-08-27 11:00,2025,08
전주,2025-08-27,12:00,2.04,30.2,1.7,67,2025-08-27 12:00,2025,08
전주,2025-08-27,13:00,3.33,31.6,2.4,58,2025-08-27 13:00,2025,08
전주,2025-08-27,14:00,2.29,31.1,2.2,59,2025-08-27 14:00,2025,08
전주,2025-08-27,15:00,2.6,31.8,2.3,63,2025-08-27 15:00,2025,08
전주,2025-08-27,16:00,2.19,31.8,2.9,54,2025-08-27 16:00,2025,08
전주,2025-08-27,17:00,1.56,31.1,2.8,49,2025-08-27 17:00,2025,08
전주,2025-08-27,18:00,0.61,30.1,1.9,54,2025-08-27 18:00,2025,08
전주,2025-08-27,19:00,0.16,28.0,2.2,72,2025-08-27 19:00,2025,08
전주,2025-08-27,20:00,0.0,27.2,1.1,74,2025-08-27 20:00,2025,08
전주,2025-08-27,21:00,0,26.5,0.3,77,2025-08-27 21:00,2025,08
전주,2025-08-27,22:00,0,26.2,1.0,79,2025-08-27 22:00,2025,08
전주,2025-08-27,23:00,0,25.6,0.5,82,2025-08-27 23:00,2025,08
전주,2025-08-28,00:00,0,24.9,1.8,85,2025-08-28 00:00,2025,08
전주,2025-08-28,01:00,0,24.5,2.1,85,2025-08-28 01:00,2025,08
전주,2025-08-28,02:00,0,24.2,1.6,86,2025-08-28 02:00,2025,08
전주,2025-08-28,03:00,0,24.3,1.2,86,2025-08-28 03:00,2025,08
전주,2025-08-28,04:00,0,24.9,1.2,85,2025-08-28 04:00,2025,08
전주,2025-08-28,05:00,0,25.0,1.7,85,2025-08-28 05:00,2025,08
전주,2025-08-28,06:00,0,24.6,0.8,86,2025-08-28 06:00,2025,08
전주,2025-08-28,07:00,0.1,25.4,1.3,84,2025-08-28 07:00,2025,08
전주,2025-08-28,08:00,0.45,26.4,1.0,83,2025-08-28 08:00,2025,08
전주,2025-08-28,09:00,0.73,27.7,2.3,78,2025-08-28 09:00,2025,08
전주,2025-08-28,10:00,2.13,30.0,2.7,68,2025-08-28 10:00,2025,08
전주,2025-08-28,11:00,1.91,30.6,1.3,68,2025-08-28 11:00,2025,08
전주,2025-08-28,12:00,1.24,30.3,1.9,69,2025-08-28 12:00,2025,08
전주,2025-08-28,13:00,2.13,32.2,3.1,65,2025-08-28 13:00,2025,08
전주,2025-08-28,14:00,2.22,32.4,2.5,66,2025-08-28 14:00,2025,08
전주,2025-08-28,15:00,2.91,33.5,2.5,58,2025-08-28 15:00,2025,08
전주,2025-08-28,16:00,1.87,32.4,2.9,64,2025-08-28 16:00,2025,08
전주,2025-08-28,17:00,1.11,31.8,2.6,70,2025-08-28 17:00,2025,08
전주,2025-08-28,18:00,0.52,30.1,2.6,73,2025-08-28 18:00,2025,08
전주,2025-08-28,19:00,0.12,29.1,2.3,77,2025-08-28 19:00,2025,08
전주,2025-08-28,20:00,0.0,28.5,1.0,78,2025-08-28 20:00,2025,08
전주,2025-08-28,21:00,0,28.1,0.7,79,2025-08-28 21:00,2025,08
전주,2025-08-28,22:00,0,27.4,2.0,85,2025-08-28 22:00,2025,08
전주,2025-08-28,23:00,0,27.0,1.6,87,2025-08-28 23:00,2025,08
전주,2025-08-29,00:00,0,26.6,1.5,88,2025-08-29 00:00,2025,08
전주,2025-08-29,01:00,0,26.4,1.1,88,2025-08-29 01:00,2025,08
전주,2025-08-29,02:00,0,26.0,1.7,88,2025-08-29 02:00,2025,08
전주,2025-08-29,03:00,0,25.7,1.2,87,2025-08-29 03:00,2025,08
전주,2025-08-29,04:00,0,25.5,1.2,87,2025-08-29 04:00,2025,08
전주,2025-08-29,05:00,0,25.1,1.1,89,2025-08-29 05:00,2025,08
전주,2025-08-29,06:00,0,25.1,0.9,89,2025-08-29 06:00,2025,08
전주,2025-08-29,07:00,0.16,26.1,2.1,87,2025-08-29 07:00,2025,08
전주,2025-08-29,08:00,0.59,28.2,0.8,80,2025-08-29 08:00,2025,08
전주,2025-08-29,09:00,1.36,29.7,2.1,74,2025-08-29 09:00,2025,08
전주,2025-08-29,10:00,1.66,30.5,1.9,70,2025-08-29 10:00,2025,08
전주,2025-08-29,11:00,1.76,30.7,2.8,68,2025-08-29 11:00,2025,08
전주,2025-08-29,12:00,2.6,32.4,4.1,62,2025-08-29 12:00,2025,08
전주,2025-08-29,13:00,2.68,32.3,4.2,62,2025-08-29 13:00,2025,08
전주,2025-08-29,14:00,2.25,32.6,2.9,65,2025-08-29 14:00,2025,08
전주,2025-08-29,15:00,2.74,33.4,4.1,58,2025-08-29 15:00,2025,08
전주,2025-08-29,16:00,2.32,32.8,3.1,56,2025-08-29 16:00,2025,08
전주,2025-08-29,17:00,1.67,32.4,3.9,65,2025-08-29 17:00,2025,08
전주,2025-08-29,18:00,1.0,31.4,3.7,66,2025-08-29 18:00,2025,08
전주,2025-08-29,19:00,0.25,29.5,2.8,75,2025-08-29 19:00,2025,08
전주,2025-08-29,20:00,0.01,28.7,2.1,81,2025-08-29 20:00,2025,08
전주,2025-08-29,21:00,0,28.4,1.9,81,2025-08-29 21:00,2025,08
전주,2025-08-29,22:00,0,28.1,1.6,81,2025-08-29 22:00,2025,08
전주,2025-08-29,23:00,0,27.7,0.6,82,2025-08-29 23:00,2025,08
전주,2025-08-30,00:00,0,26.9,1.3,86,2025-08-30 00:00,2025,08
전주,2025-08-30,01:00,0,26.3,1.6,87,2025-08-30 01:00,2025,08
전주,2025-08-30,02:00,0,25.9,0.8,88,2025-08-30 02:00,2025,08
전주,2025-08-30,03:00,0,25.6,1.5,88,2025-08-30 03:00,2025,08
전주,2025-08-30,04:00,0,25.2,1.6,89,2025-08-30 04:00,2025,08
전주,2025-08-30,05:00,0,24.8,1.9,90,2025-08-30 05:00,2025,08
전주,2025-08-30,06:00,0,24.6,1.8,90,2025-08-30 06:00,2025,08
전주,2025-08-30,07:00,0.15,26.0,1.4,86,2025-08-30 07:00,2025,08
전주,2025-08-30,08:00,0.62,27.5,1.9,81,2025-08-30 08:00,2025,08
전주,2025-08-30,09:00,1.5,29.8,1.2,71,2025-08-30 09:00,2025,08
전주,2025-08-30,10:00,2.18,30.7,1.2,65,2025-08-30 10:00,2025,08
전주,2025-08-30,11:00,2.78,32.1,2.1,62,2025-08-30 11:00,2025,08
전주,2025-08-30,12:00,3.22,32.3,2.3,54,2025-08-30 12:00,2025,08
전주,2025-08-30,13:00,3.25,32.8,3.0,55,2025-08-30 13:00,2025,08
전주,2025-08-30,14:00,2.99,33.1,2.5,53,2025-08-30 14:00,2025,08
전주,2025-08-30,15:00,2.97,33.8,3.0,57,2025-08-30 15:00,2025,08
전주,2025-08-30,16:00,2.11,32.5,2.5,60,2025-08-30 16:00,2025,08
전주,2025-08-30,17:00,1.71,33.5,2.7,55,2025-08-30 17:00,2025,08
전주,2025-08-30,18:00,1.06,32.1,3.3,62,2025-08-30 18:00,2025,08
전주,2025-08-30,19:00,0.27,29.9,3.2,70,2025-08-30 19:00,2025,08
전주,2025-08-30,20:00,0.0,29.3,2.4,72,2025-08-30 20:00,2025,08
전주,2025-08-30,21:00,0,28.9,1.2,74,2025-08-30 21:00,2025,08
전주,2025-08-30,22:00,0,28.5,1.5,74,2025-08-30 22:00,2025,08
전주,2025-08-30,23:00,0,28.0,0.4,77,2025-08-30 23:00,2025,08
전주,2025-08-31,00:00,0,27.7,0.3,80,2025-08-31 00:00,2025,08
전주,2025-08-31,01:00,0,27.0,1.5,83,2025-08-31 01:00,2025,08
전주,2025-08-31,02:00,0,26.6,2.1,84,2025-08-31 02:00,2025,08
전주,2025-08-31,03:00,0,26.2,1.6,84,2025-08-31 03:00,2025,08
전주,2025-08-31,04:00,0,26.2,1.8,84,2025-08-31 04:00,2025,08
전주,2025-08-31,05:00,0,25.7,1.3,87,2025-08-31 05:00,2025,08
전주,2025-08-31,06:00,0,25.8,1.9,87,2025-08-31 06:00,2025,08
