지점,날짜,시간,일사(MJ/m2),온도,풍속,습도,tm,year,month
전주,2025-07-30,00:00,0,28.2,1.2,78,2025-07-30 00:00,2025,07
전주,2025-07-30,01:00,0,27.7,1.5,77,2025-07-30 01:00,2025,07
전주,2025-07-30,02:00,0,27.4,0.7,80,2025-07-30 02:00,2025,07
전주,2025-07-30,03:00,0,27.0,1.3,78,2025-07-30 03:00,2025,07
전주,2025-07-30,04:00,0,26.4,1.0,80,2025-07-30 04:00,2025,07
전주,2025-07-30,05:00,0,26.0,1.7,81,2025-07-30 05:00,2025,07
전주,2025-07-30,06:00,0.01,25.7,1.5,79,2025-07-30 06:00,2025,07
전주,2025-07-30,07:00,0.34,27.5,1.4,72,2025-07-30 07:00,2025,07
전주,2025-07-30,08:00,1.07,29.6,0.8,64,2025-07-30 08:00,2025,07
전주,2025-07-30,09:00,1.63,31.2,0.6,57,2025-07-30 09:00,2025,07
전주,2025-07-30,10:00,2.4,32.1,2.0,59,2025-07-30 10:00,2025,07
전주,2025-07-30,11:00,2.67,32.3,1.9,61,2025-07-30 11:00,2025,07
전주,2025-07-30,12:00,3.11,33.9,2.9,41,2025-07-30 12:00,2025,07
전주,2025-07-30,13:00,3.19,34.3,2.5,43,2025-07-30 13:00,2025,07
전주,2025-07-30,14:00,3.07,35.4,2.4,44,2025-07-30 14:00,2025,07
전주,2025-07-30,15:00,2.77,36.0,2.9,34,2025-07-30 15:00,2025,07
전주,2025-07-30,16:00,2.02,35.0,2.9,39,2025-07-30 16:00,2025,07
전주,2025-07-30,17:00,1.02,34.0,2.1,42,2025-07-30 17:00,2025,07
전주,2025-07-30,18:00,0.57,33.2,1.8,48,2025-07-30 18:00,2025,07
전주,2025-07-30,19:00,0.2,32.2,1.5,53,2025-07-30 19:00,2025,07
전주,2025-07-30,20:00,0.02,31.1,1.7,61,2025-07-30 20:00,2025,07
전주,2025-07-30,21:00,0,30.3,1.9,64,2025-07-30 21:00,2025,07
전주,2025-07-30,22:00,0,29.7,1.1,66,2025-07-30 22:00,2025,07
전주,2025-07-30,23:00,0,28.7,2.0,68,2025-07-30 23:00,2025,07
전주,2025-07-31,00:00,0,28.1,1.7,64,2025-07-31 00:00,2025,07
전주,2025-07-31,01:00,0,28.0,1.8,57,2025-07-31 01:00,2025,07
전주,2025-07-31,02:00,0,27.6,2.3,60,2025-07-31 02:00,2025,07
전주,2025-07-31,03:00,0,27.1,1.5,63,2025-07-31 03:00,2025,07
전주,2025-07-31,04:00,0,26.7,1.1,64,2025-07-31 04:00,2025,07
전주,2025-07-31,05:00,0,26.2,0.8,67,2025-07-31 05:00,2025,07
전주,2025-07-31,06:00,0.0,25.8,0.9,69,2025-07-31 06:00,2025,07
전주,2025-07-31,07:00,0.16,25.9,1.0,71,2025-07-31 07:00,2025,07
전주,2025-07-31,08:00,0.55,27.0,2.2,67,2025-07-31 08:00,2025,07
전주,2025-07-31,09:00,1.44,30.9,1.1,59,2025-07-31 09:00,2025,07
전주,2025-07-31,10:00,2.27,32.2,2.1,52,2025-07-31 10:00,2025,07
전주,2025-07-31,11:00,2.92,33.3,1.6,43,2025-07-31 11:00,2025,07
전주,2025-07-31,12:00,3.43,34.5,1.4,44,2025-07-31 12:00,2025,07
전주,2025-07-31,13:00,3.51,35.9,1.7,43,2025-07-31 13:00,2025,07
전주,2025-07-31,14:00,3.16,35.9,2.4,43,2025-07-31 14:00,2025,07
전주,2025-07-31,15:00,2.38,34.3,2.1,48,2025-07-31 15:00,2025,07
전주,2025-07-31,16:00,2.25,36.3,2.5,46,2025-07-31 16:00,2025,07
전주,2025-07-31,17:00,1.9,35.2,2.8,47,2025-07-31 17:00,2025,07
전주,2025-07-31,18:00,0.98,35.4,1.3,46,2025-07-31 18:00,2025,07
전주,2025-07-31,19:00,0.25,33.4,1.0,53,2025-07-31 19:00,2025,07
전주,2025-07-31,20:00,0.02,31.6,1.5,62,2025-07-31 20:00,2025,07
전주,2025-07-31,21:00,0,31.1,1.6,64,2025-07-31 21:00,2025,07
전주,2025-07-31,22:00,0,29.8,2.3,70,2025-07-31 22:00,2025,07
전주,2025-07-31,23:00,0,29.0,2.6,70,2025-07-31 23:00,2025,07
