지점,날짜,시간,일사(MJ/m2),온도,풍속,습도,tm,year,month
전주,2025-06-25,00:00,0,22.1,2.3,86,2025-06-25 00:00,2025,06
전주,2025-06-25,01:00,0,22.3,1.3,85,2025-06-25 01:00,2025,06
전주,2025-06-25,02:00,0,22.7,1.5,82,2025-06-25 02:00,2025,06
전주,2025-06-25,03:00,0,22.5,2.5,84,2025-06-25 03:00,2025,06
전주,2025-06-25,04:00,0,22.3,2.4,86,2025-06-25 04:00,2025,06
전주,2025-06-25,05:00,0,21.4,3.6,90,2025-06-25 05:00,2025,06
전주,2025-06-25,06:00,0.0,20.9,2.9,89,2025-06-25 06:00,2025,06
전주,2025-06-25,07:00,0.06,20.7,2.1,89,2025-06-25 07:00,2025,06
전주,2025-06-25,08:00,0.15,21.2,2.3,86,2025-06-25 08:00,2025,06
전주,2025-06-25,09:00,0.6,21.8,3.5,82,2025-06-25 09:00,2025,06
전주,2025-06-25,10:00,0.29,21.7,2.7,82,2025-06-25 10:00,2025,06
전주,2025-06-25,11:00,0.33,20.8,2.9,89,2025-06-25 11:00,2025,06
전주,2025-06-25,12:00,0.22,21.0,3.7,89,2025-06-25 12:00,2025,06
전주,2025-06-25,13:00,0.85,22.8,2.7,82,2025-06-25 13:00,2025,06
전주,2025-06-25,14:00,1.79,23.9,4.6,72,2025-06-25 14:00,2025,06
전주,2025-06-25,15:00,2.43,24.9,4.0,69,2025-06-25 15:00,2025,06
전주,2025-06-25,16:00,2.67,25.9,3.4,68,2025-06-25 16:00,2025,06
전주,2025-06-25,17:00,1.85,25.6,3.8,64,2025-06-25 17:00,2025,06
전주,2025-06-25,18:00,1.33,25.5,3.5,63,2025-06-25 18:00,2025,06
전주,2025-06-25,19:00,0.43,24.1,3.2,70,2025-06-25 19:00,2025,06
전주,2025-06-25,20:00,0.04,22.3,2.1,83,2025-06-25 20:00,2025,06
전주,2025-06-25,21:00,0,22.3,3.0,83,2025-06-25 21:00,2025,06
전주,2025-06-25,22:00,0,22.0,2.2,82,2025-06-25 22:00,2025,06
전주,2025-06-25,23:00,0,21.8,2.9,84,2025-06-25 23:00,2025,06
전주,2025-06-26,00:00,0,21.7,3.3,86,2025-06-26 00:00,2025,06
전주,2025-06-26,01:00,0,22.0,2.5,81,2025-06-26 01:00,2025,06
전주,2025-06-26,02:00,0,21.8,3.1,81,2025-06-26 02:00,2025,06
전주,2025-06-26,03:00,0,21.6,3.1,81,2025-06-26 03:00,2025,06
전주,2025-06-26,04:00,0,21.7,2.7,80,2025-06-26 04:00,2025,06
전주,2025-06-26,05:00,0,21.4,2.8,81,2025-06-26 05:00,2025,06
전주,2025-06-26,06:00,0.03,21.0,2.4,83,2025-06-26 06:00,2025,06
전주,2025-06-26,07:00,0.25,21.1,2.4,82,2025-06-26 07:00,2025,06
전주,2025-06-26,08:00,0.97,22.6,2.0,77,2025-06-26 08:00,2025,06
전주,2025-06-26,09:00,1.31,23.3,2.0,73,2025-06-26 09:00,2025,06
전주,2025-06-26,10:00,1.84,24.4,2.9,72,2025-06-26 10:00,2025,06
전주,2025-06-26,11:00,2.09,25.0,2.4,69,2025-06-26 11:00,2025,06
전주,2025-06-26,12:00,2.6,26.8,2.5,61,2025-06-26 12:00,2025,06
전주,2025-06-26,13:00,3.45,27.5,3.3,60,2025-06-26 13:00,2025,06
전주,2025-06-26,14:00,2.88,27.6,3.3,62,2025-06-26 14:00,2025,06
전주,2025-06-26,15:00,2.22,28.1,2.7,59,2025-06-26 15:00,2025,06
전주,2025-06-26,16:00,1.71,28.0,2.7,61,2025-06-26 16:00,2025,06
전주,2025-06-26,17:00,1.67,27.3,3.3,61,2025-06-26 17:00,2025,06
전주,2025-06-26,18:00,1.18,26.5,3.2,62,2025-06-26 18:00,2025,06
전주,2025-06-26,19:00,0.56,25.5,2.9,69,2025-06-26 19:00,2025,06
전주,2025-06-26,20:00,0.12,24.0,3.0,76,2025-06-26 20:00,2025,06
전주,2025-06-26,21:00,0,23.0,1.9,81,2025-06-26 21:00,2025,06
전주,2025-06-26,22:00,0,22.5,1.4,83,2025-06-26 22:00,2025,06
전주,2025-06-26,23:00,0,22.2,1.9,87,2025-06-26 23:00,2025,06
전주,2025-06-27,00:00,0,22.0,1.0,85,2025-06-27 00:00,2025,06
전주,2025-06-27,01:00,0,22.2,0.3,86,2025-06-27 01:00,2025,06
전주,2025-06-27,02:00,0,22.3,0.4,86,2025-06-27 02:00,2025,06
전주,2025-06-27,03:00,0,22.0,0.8,87,2025-06-27 03:00,2025,06
전주,2025-06-27,04:00,0,22.0,1.4,87,2025-06-27 04:00,2025,06
전주,2025-06-27,05:00,0,21.9,1.0,85,2025-06-27 05:00,2025,06
전주,2025-06-27,06:00,0.03,22.2,0.6,86,2025-06-27 06:00,2025,06
전주,2025-06-27,07:00,0.33,23.4,0.2,82,2025-06-27 07:00,2025,06
전주,2025-06-27,08:00,0.98,24.6,1.0,75,2025-06-27 08:00,2025,06
전주,2025-06-27,09:00,1.65,25.4,1.7,68,2025-06-27 09:00,2025,06
전주,2025-06-27,10:00,1.82,26.5,0.8,66,2025-06-27 10:00,2025,06
전주,2025-06-27,11:00,2.67,27.7,1.4,61,2025-06-27 11:00,2025,06
전주,2025-06-27,12:00,3.11,29.2,0.8,56,2025-06-27 12:00,2025,06
